Код производителя:;CLX-8640ND/SEE
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;38 стр./мин. (Ч/Б)38 стр./мин. (Цв.)
Нагрузка в месяц:;200000 стр.
