Код производителя:;SCX-3205/XEV
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;16 стр./мин.
Нагрузка в месяц:;5000 стр.
