Код производителя:;CLP-600/XAA
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;20 стр./мин. (Ч/Б)20 стр./мин. (Цв.)
Нагрузка в месяц:;35000 стр.
