Код производителя:;SL-K2200ND/XEV
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;20 стр./мин. (А4)
Нагрузка в месяц:;50000 стр.
