Код производителя:;SL-M4583FX/SEE
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;47 стр./мин.
Нагрузка в месяц:;200000 стр.
