Код производителя:;CLP-510N/XEV
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)6 стр./мин. (Цв.)
Нагрузка в месяц:;35000 стр.
