Код производителя:;SCX-8040ND/XEV
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;40 стр./мин. (А4)
Нагрузка в месяц:;150000 стр.
