Код производителя:;"Samsung SL-M4020ND/SEEHP SS383Z"
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;40 стр./мин.
Нагрузка в месяц:;100000 стр.
