Код производителя:;44951534
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;22 стр./мин. (Ч/Б)20 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
