Код производителя:;1131701
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)16 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
