Код производителя:;44871034
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;29 стр./мин.
Нагрузка в месяц:;30000 стр.
