Код производителя:;1212501
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;32 стр./мин. (Ч/Б)22 стр./мин. (Цв.)
Нагрузка в месяц:;60000 стр.
