Код производителя:;1099501
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;20 стр./мин. (Ч/Б)12 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
