Код производителя:;6500V_N
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;23 стр./мин. (Ч/Б)23 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
