Код производителя:;6515V_DN
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;28 стр./мин. (Ч/Б)28 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
