Код производителя:;B1025V_U
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;13 стр./мин. (А3)25 стр./мин. (А4)
Нагрузка в месяц:;50000 стр.
