Код производителя:;SC2020V_U
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А3
Скорость печати:;20 стр./мин. (Ч/Б, А4)									20 стр./мин. (Цв., А4)
Нагрузка в месяц:;25000 стр.
