Код производителя:;5500V/B
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;25 стр./мин. (А3)50 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
