Код производителя:;100N02710
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин.
Нагрузка в месяц:;12000 стр.
