Код производителя:;5225V_U
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;25 стр./мин. (А4)
Нагрузка в месяц:;75000 стр.
