Узел автоматической подачи оригиналов;059K59130;059K59130 - Автоподатчик документов, в сборе;['Xerox Phaser 6115MFP/N'];
Подача и захват бумаги;019K13070;019K13070 - Площадка отделения бумаги из основного лотка, в сборе;['Xerox Phaser 6115MFP/N', 'Xerox Phaser 6121MFP/N', 'Xerox Phaser 6115MFP/D', 'Xerox Phaser 6121MFP/D', 'Xerox Phaser 6121MFP/S'];
Подача и захват бумаги;059E05460;"059E05460 - Ролик подачи бумаги из основного лотка, в сборе
Снято с производства";['Konica Minolta magicolor 2450', 'Xerox Phaser 6115MFP/D', 'Konica Minolta bizhub C10P', 'Konica Minolta magicolor 2480 MF', 'Xerox Phaser 6115MFP/N', 'Konica Minolta magicolor 1600W', 'Konica Minolta magicolor 2490 MF', 'Xerox Phaser 6120', 'Konica Minolta magicolor 1650EN', 'Konica Minolta magicolor 2500W', 'Xerox Phaser 6120N', 'Konica Minolta magicolor 1680MF', 'Konica Minolta magicolor 2530DL', 'Xerox Phaser 6121MFP', 'Konica Minolta magicolor 1690MF', 'Konica Minolta magicolor 2550', 'Xerox Phaser 6121MFP/D', 'Konica Minolta magicolor 2400W', 'Konica Minolta magicolor 2590 MF', 'Xerox Phaser 6121MFP/N', 'Konica Minolta magicolor 2430DL', 'Xerox Phaser 6115MFP', 'Xerox Phaser 6121MFP/S'];
Узел переноса;023E30891;023E30891 - Узел переноса изображения, в сборе;['Xerox Phaser 6120', 'Xerox Phaser 6115MFP/N', 'Xerox Phaser 6120N'];
Электронные компоненты;062K22690;"062K22690 - Планшетный сканер, в сборе
Снято с производства";['Xerox Phaser 6115MFP/N'];
Электронные компоненты;122K02590;122K02590 - Блок лазера;['Xerox Phaser 6115MFP/N', 'Xerox Phaser 6120N', 'Xerox Phaser 6115MFP/D', 'Xerox Phaser 6120'];
Электронные компоненты;127E15270;127E15270 - Главный мотор;['Xerox Phaser 6115MFP/N', 'Xerox Phaser 6120N', 'Xerox Phaser 6115MFP/D', 'Xerox Phaser 6120'];
Узел термозакрепления;126K23202;"126K23202 - Печь, в сборе (220В)
Снято с производства";['Xerox Phaser 6120', 'Xerox Phaser 6200', 'Xerox Phaser 6115MFP/N', 'Xerox Phaser 6120N'];
