Код производителя:;4400V/B
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;25 стр./мин.
Нагрузка в месяц:;150000 стр.
