Код производителя:;5024V_U
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;9 стр./мин. (А3)24 стр./мин. (А4)
Нагрузка в месяц:;25000 стр.
