Код производителя:;5400V/MN
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;40 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
