Код производителя:;7346V
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;22 стр./мин. (Ч/Б, А3)20 стр./мин. (Цв., А3)45 стр./мин. (Ч/Б, А4)									40 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
