Код производителя:;6250V_B
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)24 стр./мин. (Цв.)
Нагрузка в месяц:;100000 стр.
