Код производителя:;6510V_DN
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;28 стр./мин. (Ч/Б)28 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
