Подача и захват бумаги;097S03744;097S03744 - Дополнительный лоток подачи бумаги (550 листов);['Xerox Phaser 6180N', 'Xerox Phaser 6280DT', 'Xerox Phaser 6180DN', 'Xerox Phaser 6280DN', 'Xerox Phaser 6280N'];
Подача и захват бумаги;675K74930;675K74930 - Ролик отделения бумаги из кассеты, в сборе (лоток 2);['Xerox Phaser 6280DT', 'Xerox Phaser 6280N'];
Узел переноса;675K70584;675K70584 - Ремень для переноса изображения, в сборе;['Xerox Phaser 6280DT', 'Xerox Phaser 6280N'];
Электронные компоненты;097S03635;097S03635 - Модуль памяти 512Mb;['Xerox Phaser 6130N', 'Xerox Phaser 6180MFP/N', 'Xerox Phaser 5550B', 'Xerox Phaser 6180', 'Xerox Phaser 6180N', 'Xerox Phaser 5550DN', 'Xerox Phaser 6180DN', 'Xerox Phaser 6280DN', 'Xerox Phaser 5550DT', 'Xerox Phaser 6180MFP', 'Xerox Phaser 6280DT', 'Xerox Phaser 5550N', 'Xerox Phaser 6180MFP/D', 'Xerox Phaser 6280N'];
Электронные компоненты;097S03743;097S03743 - Модуль памяти 256Mb;['Xerox Phaser 6130N', 'Xerox Phaser 6180MFP/N', 'Xerox Phaser 5550B', 'Xerox Phaser 6180', 'Xerox Phaser 6180N', 'Xerox Phaser 5550DN', 'Xerox Phaser 6180DN', 'Xerox Phaser 6280DN', 'Xerox Phaser 5550DT', 'Xerox Phaser 6180MFP', 'Xerox Phaser 6280DT', 'Xerox Phaser 5550N', 'Xerox Phaser 6180MFP/D', 'Xerox Phaser 6280N'];
Электронные компоненты;097S03967;097S03967 - Жёсткий диск 40Gb;['Xerox Phaser 6280DT', 'Xerox Phaser 6280N'];
Электронные компоненты;848K19391;848K19391 - Панель управления, в сборе;['Xerox Phaser 6280DT', 'Xerox Phaser 6280N'];
Узел термозакрепления;675K70606;675K70606 - Печь, в сборе (220В);['Xerox Phaser 6280DT', 'Xerox Phaser 6280N'];
