Код производителя:;4250V_U
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;43 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
