Код производителя:;7400V/DN
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А3
Скорость печати:;21 стр./мин. (Ч/Б, А3)20 стр./мин. (Цв., А3)40 стр./мин. (Ч/Б, А4)									36 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
