Код производителя:;5222V_KU
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;22 стр./мин. (А4)
Нагрузка в месяц:;70000 стр.
