Код производителя:;6180V
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;26 стр./мин. (Ч/Б)20 стр./мин. (Цв.)
Нагрузка в месяц:;60000 стр.
