Код производителя:;M118VDPI
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;18 стр./мин. (А4)
Нагрузка в месяц:;50000 стр.
