Код производителя:;CC123
Тип устройства:;копир
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;23 стр./мин. (А4)
Нагрузка в месяц:;75000 стр.
