Код производителя:;6015V_N / 100S13110
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;15 стр./мин. (Ч/Б)12 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
