Код производителя:;6700V_N
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;45 стр./мин. (Ч/Б)45 стр./мин. (Цв.)
Нагрузка в месяц:;120000 стр.
