Код производителя:;7100V_DN
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;17 стр./мин. (Ч/Б, А3)17 стр./мин. (Цв., А3)30 стр./мин. (Ч/Б, А4)									30 стр./мин. (Цв., А4)
Нагрузка в месяц:;55000 стр.
