Код производителя:;5020V_B / 100S12567
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;10 стр./мин. (А3)20 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
