Код производителя:;4260_S
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;53 стр./мин. (А4)
Нагрузка в месяц:;250000 стр.
