Код производителя:;7132V_SP
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;32 стр./мин. (Ч/Б, А4)									8 стр./мин. (Цв., А4)
Нагрузка в месяц:;100000 стр.
