Код производителя:;7500V_DX
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А3
Скорость печати:;35 стр./мин. (Ч/Б, А4)									35 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
