Код производителя:;100S66056 / 100S66158
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;24 стр./мин.
Нагрузка в месяц:;30000 стр.
