Код производителя:;5016V_B / 100S12720
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;9 стр./мин. (А3)16 стр./мин. (А4)
Нагрузка в месяц:;15000 стр.
