Код производителя:;C70V_A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;37 стр./мин. (Ч/Б, А3)35 стр./мин. (Цв., А3)75 стр./мин. (Ч/Б, А4)									70 стр./мин. (Цв., А4)
Нагрузка в месяц:;220000 стр.
